id;transaction_id;code;pin;sticker_id;sender_name;message;send_type;contact_type;recepient_name;recepient_contact;recepient_contact_hash;is_immediately;send_schedule;address_label;country_id;province_id;city_id;district_id;village_id;zipcode;address;courier_note;longitude;latitude;reference_id;send_by;delivery_price;delivery_price_usd;disc_delivery_price;disc_delivery_price_usd;total_delivery_price;total_delivery_price_usd;status_delivery;status_reason;blibli_package_id;try_open;created_at;created_by;updated_at;updated_by
1;12610;ack;accomplished;31431;slap;fumigate insolence tomb;dead although to;huzzah because usually;phooey ha;headline illiterate;um justly;false;2025-04-09T01:45:38;reluctantly milestone because;21336;17230;25022;31197;24719;gadzooks;dreamily meanwhile because;please;phooey tighten;well;stage;inexperienced;32692.88;2106.43;21524.69;13236.01;5882.48;27463.14;ew sport disconnection;splosh;revoke heavily loyally;true;2025-04-08T11:54:02;2867;2025-04-09T08:30:01;14265
2;31147;ripe lock faithfully;scowl closely what;19550;colossal whose ah;ouch;knight blah;spark summer;consign indeed;electrify;quick-witted of consequently;false;2025-04-08T18:42:46;inasmuch vice which;19012;19807;31628;14879;27651;yarmulke exempt;indeed;toward wrongly;helpful penalise;tomatillo;forenenst storyboard;yet with;344.91;7261.66;14421;266.93;30885.86;17038.71;from beneath duh;afraid ack snow;yuck with sympathetically;true;2025-04-09T05:27:18;29124;2025-04-09T04:54:02;14484
3;8064;aha on;brr yet;3003;versus notwithstanding roughly;official;between well-off;whose misread;hastily whether toady;chubby;brr factorise intermix;true;2025-04-09T03:04:24;jaywalk space although;7496;6606;2282;31684;12070;enthusiastically aboard;who;anenst;consequently while;however;times;physically gosh mature;8772.03;7819.78;15953.71;11335.54;29934.3;27606.09;ick lest;celebrate to lost;against;true;2025-04-08T09:36:01;17589;2025-04-08T22:26:23;22472
4;30401;godfather crystallize sweetly;geez;20786;though veto;wilt porter aside;afore whose sin;roundabout;scoop;whoever;wealthy unnaturally yuck;true;2025-04-08T15:22:49;to finger defiantly;2817;31580;26429;542;9815;goodwill amidst formamide;obsess supposing heighten;failing who;keenly each;insistent unaccountably;zowie;boss submissive ew;17319;26162.59;29436.04;6533.47;30421.16;7510.02;annually at formation;mooch;why;false;2025-04-08T19:11:54;24097;2025-04-08T15:38:30;2130
5;23804;offset sans when;broadly since;10546;for shy;at;boldly nutritious meh;inasmuch discontinue;oxygenate how whereas;transplant;categorise;true;2025-04-08T10:37:08;roughly oof;32021;3666;18554;30179;8489;astride where;heavily word drat;backburn haircut;monthly aside;aw gracefully defendant;hyphenation;weakly masticate;117.73;26929;12718.09;11468.94;10997.04;12650.19;of put;sleepily;violently;false;2025-04-08T13:23:31;8663;2025-04-09T04:12:03;14635
6;27454;because;throbbing barring;20226;wisely ack;ha;outside;ugh what;tough finding;badly account;forgather crumble;false;2025-04-08T16:29:10;to gah steel;26758;11805;6831;4681;12145;handover qua mooch;last thyme;carelessly story till;over likewise overplay;mallard;bah access while;minus modulo legging;13995.47;23924.52;22189.07;32139.35;30084.26;1878.88;memorise;ah;suburban hm reorient;true;2025-04-08T12:17:02;21554;2025-04-08T16:08:49;1340
7;17461;whose than ah;seafood;29433;huzzah where writhing;until pish soon;whenever kiddingly mid;fixed however;political;sandy infinite;atop;true;2025-04-09T00:16:03;oof oh fax;17990;30153;22867;8086;12649;plan huzzah woot;perfectly;about authentic;ready cutover inborn;whose;upright colon;meanwhile countess;1722.69;12999.73;11372.61;28067.27;464.44;20902.68;since waver;sympathetically upbeat advocate;eek barring oof;false;2025-04-08T13:02:33;32433;2025-04-09T05:22:16;23383
8;9463;whose;um;7938;beep hmph;eek hexagon;which during;see sorrowful or;transparency now release;handy typewriter;sleepily down;true;2025-04-08T16:37:28;mid breed bleak;31937;20729;25544;26836;13028;availability shrilly officially;supposing in;epic ferociously brr;display deploy onto;fooey;nasalise impassioned bob;abseil;6434.73;21631.83;31376.49;14694.11;2462.21;11930.64;under psst within;cheerful;aside for colorfully;false;2025-04-09T06:41:54;10437;2025-04-08T11:28:17;31888
9;20523;wherever;yippee fooey economise;21072;on ugh;nor plus;impostor before;sun correctly lest;uniform;house yum tectonics;yahoo;false;2025-04-08T10:18:57;misappropriate quip;4080;468;144;14168;26372;after;good;near gadzooks but;smog hungrily;steep concerning out;bah;wildly gah coexist;20214.92;7142.97;14904.99;7306.67;24245.08;2551.7;but thorny;instead;toward not;true;2025-04-08T14:34:04;12798;2025-04-08T16:44:35;19400
10;10785;reward following er;gosh without of;30415;failing;emerge;joyously past woot;zealous astride;thoughtfully;swat but;between underneath quit;false;2025-04-08T23:34:26;but canter;28117;31809;27388;19733;28729;gleefully ha complication;table;miscalculate;barring behind;tousle;overconfidently for along;from banish;948.33;10983.71;27556.51;2652.29;20359.86;20702.58;till incomparable;merge airport;round gee;false;2025-04-08T10:04:11;995;2025-04-09T08:12:04;12375
