id;country_id;logo;banner;name;name_en;description;description_en;is_portal;portal_text_title;portal_text_title_en;is_use_brand_description;portal_text_description;portal_text_description_en;portal_text_cta;portal_text_cta_en;brand_primary_color;brand_inner_primary_color;sub_domain;is_brand;priority;is_active;is_delete;created_at;updated_at;created_by;updated_by
1;29005;refine;geez;shush bulky aha;sure-footed language poetry;demonstrate marksman magnetize;oof foot;false;yippee minus;boohoo;false;recklessly;neck times complication;equal worth digestive;sushi quaintly aw;ultimately weakly boohoo;regarding;nearly worthless;false;12699;false;false;2025-03-27T03:52:12;2025-03-27T05:39:43;23681;29383
2;4217;brr sediment;barring instead;commonly overspend;splay;in broadly till;watery towards healthily;false;against yahoo;if which gadzooks;false;stingy hmph sideboard;jazz;sonata up;urban safeguard;soft about scrape;duh;gee;false;13777;false;false;2025-03-26T14:22:20;2025-03-27T06:11:35;22144;15513
3;13607;stale gadzooks stuff;off likewise;uh-huh frantically provided;intermesh;yippee;typewriter;false;sans for;joyous;false;fork;a;individual unknown versus;wide kissingly inasmuch;recent;outset;whenever righteously over;true;19866;true;true;2025-03-27T01:28:37;2025-03-26T09:30:39;11918;28924
4;26661;deploy;despite failing collectivization;upon;er but unless;primary obesity enormously;intently;false;until an;a;false;dearly next;hence and;meh phew slope;after;shyly;till;unbearably meander smoggy;true;15474;true;false;2025-03-26T17:59:01;2025-03-26T08:53:26;16176;8715
5;20477;though earth as;schematise blaspheme;aha;fuzzy mooch round;majestically nauseate steel;phooey;false;whose;dependency;true;accelerator;ha like psst;stoop insist;nor uh-huh yippee;prime;justly;amidst shoulder;true;8934;false;false;2025-03-26T17:06:19;2025-03-26T10:52:59;16511;31050
6;20886;delirious phew unexpectedly;but blight;total space psst;skean;splosh zowie disapprove;violently;true;before upon;whoa;true;psst our er;corrupt;plus scar;while westernize however;woot kissingly;hutch;overburden;true;3789;false;true;2025-03-27T00:49:58;2025-03-26T18:22:55;8400;8181
7;8478;usefully;via mysteriously barring;if since;redraw;miserly;interviewer made-up instead;true;what shimmering;event now furthermore;false;lounge indeed;offensively;after;usually;braid;highlight ouch except;sharply sympathetically;true;5835;true;true;2025-03-26T09:57:17;2025-03-26T15:08:42;23219;16298
8;4555;recount;which fooey spherical;arrogantly pace;independence downchange;front;under rival yowza;false;intensely;outside now;true;dull;aha;continually handy;anti ajar likewise;pace;atop inside persecute;amidst whether;true;18862;true;false;2025-03-27T06:34:11;2025-03-26T16:02:06;10090;14832
9;15751;um;awareness;whereas;sparkling but as;instruction cheerfully;mob gah;false;omelet per debut;instead;false;incidentally boastfully feline;pointless;entire even drat;er pitiful huddle;flight;how;deceivingly questionably failing;true;911;true;false;2025-03-26T17:37:25;2025-03-27T00:47:03;27938;29318
10;28546;hovercraft yuck;pfft;however around extremely;slake swill;beside supposing fatal;wherever yum gah;false;yogurt ick mouser;whoever doubter glorious;false;tankful solicit than;whereas refine broadly;once;tooth atop;into until out;sweatshop given realistic;eek gee;true;23805;false;true;2025-03-26T08:27:24;2025-03-26T13:49:48;31248;2304
