id;code;name;symbol;thousand_sep;decimal_sep;decimal_place;created_at;updated_at;created_by;updated_by
1;certification stall nippy;jazz vice wafer;coolly porter culminate;stigmatize;upwardly;18088;2025-03-26T19:07:32;2025-03-27T01:05:27;21514;5327
2;venom polarisation;cope;favorable whoa squirm;robust;westernise;1814;2025-03-26T12:29:11;2025-03-26T19:17:44;2861;32561
3;plus;but yuck;redevelop hence wherever;institutionalize although;except um chapel;13601;2025-03-26T12:00:01;2025-03-26T19:42:08;11140;13523
4;pro oxidise ultimate;pendant which;beside rot uncommon;nor scuffle sustenance;ski while beyond;15279;2025-03-27T07:46:15;2025-03-26T11:26:28;25514;7505
5;loudly whose;cow ouch nougat;hence witty zowie;unless gallery;unique censor vague;7392;2025-03-27T07:04:29;2025-03-26T17:18:28;25913;4291
6;bump zesty lyre;unsightly when fervently;likewise;upright;pish store;6071;2025-03-26T10:35:08;2025-03-27T04:14:18;20302;21435
7;concerned bump dearly;whenever overcharge;in while actual;consequently upside-down;yippee courageous;32577;2025-03-26T22:02:40;2025-03-26T10:58:14;11068;13828
8;athwart;once;from;summarise;hoarse faint;25991;2025-03-26T18:20:45;2025-03-27T04:47:30;21392;11795
9;mmm celebrated;aside comparison;clamour moor;painfully;fooey ha hmph;22480;2025-03-27T05:33:15;2025-03-26T14:48:44;9158;30014
10;decriminalize above;including scarper brr;near happy-go-lucky;deliberately institutionalize;where;1879;2025-03-26T15:03:18;2025-03-27T01:31:48;23288;22406
